attribute,value,weight,tags
Stat,STR,1,"{""archetype"": [""Bulky"", ""Faithful""], ""Human"": 10, ""Elf"": 5, ""Half-Orc"": 15, ""Half-Elf"": 5, ""Dragonborn"": 15, ""Halfling"": 5, ""Goblin"": 5, ""Dwarf"": 5, ""Tiefling"": 5, ""Gnome"": 5}"
Stat,DEX,1,"{""archetype"": [""Bulky"",""Crafty""], ""Human"": 10, ""Elf"": 10, ""Half-Orc"": 5, ""Half-Elf"": 5, ""Dragonborn"": 5, ""Halfling"": 10, ""Goblin"": 10, ""Dwarf"": 10, ""Tiefling"": 5, ""Gnome"": 10}"
Stat,CON,1,"{""archetype"": [""Bulky"", ""Faithful""], ""Human"": 10, ""Elf"": 5, ""Half-Orc"": 10, ""Half-Elf"": 5, ""Dragonborn"": 5, ""Halfling"": 5, ""Goblin"": 5, ""Dwarf"": 5, ""Tiefling"": 5, ""Gnome"": 5}"
Stat,INT,1,"{""archetype"": [""Crafty"", ""Smart""], ""Human"": 10, ""Elf"": 10, ""Half-Orc"": 5, ""Half-Elf"": 5, ""Dragonborn"": 5, ""Halfling"": 5, ""Goblin"": 5, ""Dwarf"": 5, ""Tiefling"": 10, ""Gnome"": 15}"
Stat,WIS,1,"{""archetype"": [""Faithful"", ""Smart""], ""Human"": 10, ""Elf"": 5, ""Half-Orc"": 5, ""Half-Elf"": 5, ""Dragonborn"": 5, ""Halfling"": 5, ""Goblin"": 5, ""Dwarf"": 5, ""Tiefling"": 5, ""Gnome"": 5}"
Stat,CHA,1,"{""archetype"": [""Crafty"", ""Smart""], ""Human"": 10, ""Elf"": 5, ""Half-Orc"": 5, ""Half-Elf"": 10, ""Dragonborn"": 10, ""Halfling"": 5, ""Goblin"": 5, ""Dwarf"": 5, ""Tiefling"": 15, ""Gnome"": 5}"
Skill,Athletics,1,"{""skill_stat"": ""STR"", ""archetype"": ""Bulky""}"
Skill,Acrobatics,1,"{""skill_stat"": ""DEX"", ""archetype"": ""Crafty""}"
Skill,Sleight Of Hand,1,"{""skill_stat"": ""DEX"", ""archetype"": ""Crafty""}"
Skill,Stealth,1,"{""skill_stat"": ""DEX"", ""archetype"": ""Crafty""}"
Skill,Arcana,1,"{""skill_stat"": ""INT"", ""archetype"": ""Smart""}"
Skill,History,1,"{""skill_stat"": ""INT"", ""archetype"": [""Smart"", ""Faithful""]}"
Skill,Investigation,1,"{""skill_stat"": ""INT"", ""archetype"": [""Crafty"", ""Smart""]}"
Skill,Nature,1,"{""skill_stat"": ""INT"", ""archetype"": [""Smart"", ""Faithful""]}"
Skill,Religion,1,"{""skill_stat"": ""INT"", ""archetype"": ""Faithful""}"
Skill,Animal Handling,1,"{""skill_stat"": ""WIS"", ""archetype"": ""Bulky""}"
Skill,Insight,1,"{""skill_stat"": ""WIS"", ""archetype"": ""Faithful""}"
Skill,Medicine,1,"{""skill_stat"": ""WIS"", ""archetype"": ""Faithful""}"
Skill,Perception,1,"{""skill_stat"": ""WIS"", ""archetype"": ""Smart""}"
Skill,Survival,1,"{""skill_stat"": ""WIS"", ""archetype"": [""Crafty"", ""Bulky""]}"
Skill,Deception,1,"{""skill_stat"": ""CHA"", ""archetype"": ""Crafty""}"
Skill,Intimidation,1,"{""skill_stat"": ""CHA"", ""archetype"": ""Bulky""}"
Skill,Performance,1,"{""skill_stat"": ""CHA"", ""archetype"": ""Crafty""}"
Skill,Persuasion,1,"{""skill_stat"": ""CHA"", ""archetype"": ""Crafty""}"
Language,Common,0,
Language,Elvish,10,"{""race"": [""Elf"", ""Half-Elf""]}"
Language,Goblin,5,"{""race"": ""Goblin""}"
